Group,d13C,d15N,Specie
1,-13.40620,4.17691,Echinometra lucunter
1,-13.57113,4.74557,Echinometra lucunter
1,-13.68072,4.09452,Echinometra lucunter
1,-13.33264,4.56022,Echinometra lucunter
2,-12.30464,5.15193,Echinometra viridis
2,-11.99385,4.56022,Echinometra viridis
2,-9.84586,4.46948,Echinometra viridis
2,-12.59790,5.31738,Echinometra viridis
2,-13.91552,5.10848,Echinometra viridis
3,-11.46114,7.02320,Eucidaris tribuloides
3,-9.85861,6.69441,Eucidaris tribuloides
3,-10.21075,6.97053,Eucidaris tribuloides
3,-10.98817,7.48493,Eucidaris tribuloides
3,-9.95797,6.46104,Eucidaris tribuloides
