Sources,Meand13C,SDd13C,Meand15N,SDd15N,n
A. fragilissima,-14.783571,5.453814,2.011415,0.680823,2
Avrainvillea spp.,-18.216977,2.469203,1.243706,1.473842,3
Dictyota spp.,-15.116695,0.757421,1.031662,0.195846,2
G. obtusata,-16.837741,1.838632,1.710420,0.139162,2
H. monile,-12.376673,0.593756,2.075580,1.143055,2
H. opuntia,-18.315577,0.077782,2.204536,1.692184,2
H. tuna,-13.948705,1.485870,1.758384,0.552985,2
H. wrigtii,-10.602083,0.230767,2.092468,1.463120,3
Padina spp.,-10.897911,0.848431,1.507979,0.651043,2
P. capitatus,-12.665135,1.252249,1.432962,0.895507,2
Sypopodium spp.,-15.821045,1.963455,1.174585,0.649469,3
Syringodium sp.,-7.683065,4.927028,0.462294,0.533574,2
T. testudinum,-7.678529,0.396034,0.252888,0.483739,4
T. tricostata,-13.656149,0.362249,1.668565,0.068681,2
U. flabellum,-11.359628,1.461825,1.822243,0.211368,2
S. fluitans,-16.360000,0.150000,-1.740000,0.380000,2
S. natans,-16.820000,0.730000,-1.490000,0.420000,2
