Sources,Meand13C,SDd13C,Meand15N,SDd15N
A. fragilissima,0.4,1.3,2.4,1.6
Avrainvillea spp.,0.4,1.3,2.4,1.6
Dictyota spp.,0.4,1.3,2.4,1.6
G. obtusata,0.4,1.3,2.4,1.6
H. monile,0.4,1.3,2.4,1.6
H. opuntia,0.4,1.3,2.4,1.6
H. tuna,0.4,1.3,2.4,1.6
H. wrigtii,0.4,1.3,2.4,1.6
Padina spp.,0.4,1.3,2.4,1.6
P. capitatus,0.4,1.3,2.4,1.6
Sypopodium spp.,0.4,1.3,2.4,1.6
Syringodium sp.,0.4,1.3,2.4,1.6
T. testudinum,0.4,1.3,2.4,1.6
T. tricostata,0.4,1.3,2.4,1.6
U. flabellum,0.4,1.3,2.4,1.6
S. fluitans,0.4,1.3,2.4,1.6
S. natans,0.4,1.3,2.4,1.6
